x,y,z,roll,pitch,yaw,vx,vy,vz
0.4,0,0.489706,3.14159,0,3.14159,0,0,0.113125
0.4,0,0.489592,3.14159,0,3.14159,0,0,0.11375
0.4,0,0.489478,3.14159,0,3.14159,0,0,0.114375
0.4,0,0.489362,3.14159,0,3.14159,0,0,0.115
0.4,0,0.489247,3.14159,0,3.14159,0,0,0.115625
0.4,0,0.489131,3.14159,0,3.14159,0,0,0.11625
0.4,0,0.489014,3.14159,0,3.14159,0,0,0.116875
0.4,0,0.488896,3.14159,0,3.14159,0,0,0.1175
0.4,0,0.488778,3.14159,0,3.14159,0,0,0.118125
0.4,0,0.488659,3.14159,0,3.14159,0,0,0.11875
0.4,0,0.48854,3.14159,0,3.14159,0,0,0.119375
0.4,0,0.48842,3.14159,0,3.14159,0,0,0.12
0.4,0,0.488299,3.14159,0,3.14159,0,0,0.120625
0.4,0,0.488178,3.14159,0,3.14159,0,0,0.12125
0.4,0,0.488056,3.14159,0,3.14159,0,0,0.121875
0.4,0,0.487934,3.14159,0,3.14159,0,0,0.1225
0.4,0,0.487811,3.14159,0,3.14159,0,0,0.123125
0.4,0,0.487687,3.14159,0,3.14159,0,0,0.12375
0.4,0,0.487563,3.14159,0,3.14159,0,0,0.124375
0.4,0,0.487437,3.14159,0,3.14159,0,0,0.125
0.4,0,0.487312,3.14159,0,3.14159,0,0,0.125625
0.4,0,0.487186,3.14159,0,3.14159,0,0,0.12625
0.4,0,0.487059,3.14159,0,3.14159,0,0,0.126875
0.4,0,0.486931,3.14159,0,3.14159,0,0,0.1275
0.4,0,0.486803,3.14159,0,3.14159,0,0,0.128125
0.4,0,0.486674,3.14159,0,3.14159,0,0,0.12875
0.4,0,0.486545,3.14159,0,3.14159,0,0,0.129375
0.4,0,0.486415,3.14159,0,3.14159,0,0,0.13
0.4,0,0.486284,3.14159,0,3.14159,0,0,0.130625
0.4,0,0.486153,3.14159,0,3.14159,0,0,0.13125
0.4,0,0.486021,3.14159,0,3.14159,0,0,0.131875
0.4,0,0.485889,3.14159,0,3.14159,0,0,0.1325
0.4,0,0.485756,3.14159,0,3.14159,0,0,0.133125
0.4,0,0.485622,3.14159,0,3.14159,0,0,0.13375
0.4,0,0.485488,3.14159,0,3.14159,0,0,0.134375
0.4,0,0.485352,3.14159,0,3.14159,0,0,0.135
0.4,0,0.485217,3.14159,0,3.14159,0,0,0.135625
0.4,0,0.485081,3.14159,0,3.14159,0,0,0.13625
0.4,0,0.484944,3.14159,0,3.14159,0,0,0.136875
0.4,0,0.484806,3.14159,0,3.14159,0,0,0.1375
0.4,0,0.484668,3.14159,0,3.14159,0,0,0.138125
0.4,0,0.484529,3.14159,0,3.14159,0,0,0.13875
0.4,0,0.48439,3.14159,0,3.14159,0,0,0.139375
0.4,0,0.48425,3.14159,0,3.14159,0,0,0.14
0.4,0,0.484109,3.14159,0,3.14159,0,0,0.140625
0.4,0,0.483968,3.14159,0,3.14159,0,0,0.14125
0.4,0,0.483826,3.14159,0,3.14159,0,0,0.141875
0.4,0,0.483684,3.14159,0,3.14159,0,0,0.1425
0.4,0,0.483541,3.14159,0,3.14159,0,0,0.143125
0.4,0,0.483397,3.14159,0,3.14159,0,0,0.14375
0.4,0,0.483252,3.14159,0,3.14159,0,0,0.144375
0.4,0,0.483108,3.14159,0,3.14159,0,0,0.145
0.4,0,0.482962,3.14159,0,3.14159,0,0,0.145625
0.4,0,0.482816,3.14159,0,3.14159,0,0,0.14625
0.4,0,0.482669,3.14159,0,3.14159,0,0,0.146875
0.4,0,0.482521,3.14159,0,3.14159,0,0,0.1475
0.4,0,0.482373,3.14159,0,3.14159,0,0,0.148125
0.4,0,0.482224,3.14159,0,3.14159,0,0,0.14875
0.4,0,0.482075,3.14159,0,3.14159,0,0,0.149375
0.4,0,0.481925,3.14159,0,3.14159,0,0,0.15
0.4,0,0.481774,3.14159,0,3.14159,0,0,0.150625
0.4,0,0.481623,3.14159,0,3.14159,0,0,0.15125
0.4,0,0.481471,3.14159,0,3.14159,0,0,0.151875
0.4,0,0.481319,3.14159,0,3.14159,0,0,0.1525
0.4,0,0.481166,3.14159,0,3.14159,0,0,0.153125
0.4,0,0.481012,3.14159,0,3.14159,0,0,0.15375
0.4,0,0.480857,3.14159,0,3.14159,0,0,0.154375
0.4,0,0.480702,3.14159,0,3.14159,0,0,0.155
0.4,0,0.480547,3.14159,0,3.14159,0,0,0.155625
0.4,0,0.480391,3.14159,0,3.14159,0,0,0.15625
0.4,0,0.480234,3.14159,0,3.14159,0,0,0.156875
0.4,0,0.480076,3.14159,0,3.14159,0,0,0.1575
0.4,0,0.479918,3.14159,0,3.14159,0,0,0.158125
0.4,0,0.479759,3.14159,0,3.14159,0,0,0.15875
0.4,0,0.4796,3.14159,0,3.14159,0,0,0.159375
0.4,0,0.47944,3.14159,0,3.14159,0,0,0.16
0.4,0,0.479279,3.14159,0,3.14159,0,0,0.160625
0.4,0,0.479118,3.14159,0,3.14159,0,0,0.16125
0.4,0,0.478956,3.14159,0,3.14159,0,0,0.161875
0.4,0,0.478794,3.14159,0,3.14159,0,0,0.1625
0.4,0,0.478631,3.14159,0,3.14159,0,0,0.163125
0.4,0,0.478467,3.14159,0,3.14159,0,0,0.16375
0.4,0,0.478303,3.14159,0,3.14159,0,0,0.164375
0.4,0,0.478137,3.14159,0,3.14159,0,0,0.165
0.4,0,0.477972,3.14159,0,3.14159,0,0,0.165625
0.4,0,0.477806,3.14159,0,3.14159,0,0,0.16625
0.4,0,0.477639,3.14159,0,3.14159,0,0,0.166875
0.4,0,0.477471,3.14159,0,3.14159,0,0,0.1675
0.4,0,0.477303,3.14159,0,3.14159,0,0,0.168125
0.4,0,0.477134,3.14159,0,3.14159,0,0,0.16875
0.4,0,0.476965,3.14159,0,3.14159,0,0,0.169375
0.4,0,0.476795,3.14159,0,3.14159,0,0,0.17
0.4,0,0.476624,3.14159,0,3.14159,0,0,0.170625
0.4,0,0.476453,3.14159,0,3.14159,0,0,0.17125
0.4,0,0.476281,3.14159,0,3.14159,0,0,0.171875
0.4,0,0.476109,3.14159,0,3.14159,0,0,0.1725
0.4,0,0.475936,3.14159,0,3.14159,0,0,0.173125
0.4,0,0.475762,3.14159,0,3.14159,0,0,0.17375
0.4,0,0.475588,3.14159,0,3.14159,0,0,0.174375
0.4,0,0.475413,3.14159,0,3.14159,0,0,0.175
0.4,0,0.475237,3.14159,0,3.14159,0,0,0.175625
0.4,0,0.475061,3.14159,0,3.14159,0,0,0.17625
0.4,0,0.474884,3.14159,0,3.14159,0,0,0.176875
0.4,0,0.474706,3.14159,0,3.14159,0,0,0.1775
0.4,0,0.474528,3.14159,0,3.14159,0,0,0.178125
0.4,0,0.474349,3.14159,0,3.14159,0,0,0.17875
0.4,0,0.47417,3.14159,0,3.14159,0,0,0.179375
0.4,0,0.47399,3.14159,0,3.14159,0,0,0.18
0.4,0,0.473809,3.14159,0,3.14159,0,0,0.180625
0.4,0,0.473628,3.14159,0,3.14159,0,0,0.18125
0.4,0,0.473446,3.14159,0,3.14159,0,0,0.181875
0.4,0,0.473264,3.14159,0,3.14159,0,0,0.1825
0.4,0,0.473081,3.14159,0,3.14159,0,0,0.183125
0.4,0,0.472897,3.14159,0,3.14159,0,0,0.18375
0.4,0,0.472713,3.14159,0,3.14159,0,0,0.184375
0.4,0,0.472528,3.14159,0,3.14159,0,0,0.185
0.4,0,0.472342,3.14159,0,3.14159,0,0,0.185625
0.4,0,0.472156,3.14159,0,3.14159,0,0,0.18625
0.4,0,0.471969,3.14159,0,3.14159,0,0,0.186875
0.4,0,0.471781,3.14159,0,3.14159,0,0,0.1875
0.4,0,0.471593,3.14159,0,3.14159,0,0,0.188125
0.4,0,0.471404,3.14159,0,3.14159,0,0,0.18875
0.4,0,0.471215,3.14159,0,3.14159,0,0,0.189375
0.4,0,0.471025,3.14159,0,3.14159,0,0,0.19
0.4,0,0.470834,3.14159,0,3.14159,0,0,0.190625
0.4,0,0.470643,3.14159,0,3.14159,0,0,0.19125
0.4,0,0.470451,3.14159,0,3.14159,0,0,0.191875
0.4,0,0.470259,3.14159,0,3.14159,0,0,0.1925
0.4,0,0.470066,3.14159,0,3.14159,0,0,0.193125
0.4,0,0.469872,3.14159,0,3.14159,0,0,0.19375
0.4,0,0.469678,3.14159,0,3.14159,0,0,0.194375
0.4,0,0.469483,3.14159,0,3.14159,0,0,0.195
0.4,0,0.469287,3.14159,0,3.14159,0,0,0.195625
0.4,0,0.469091,3.14159,0,3.14159,0,0,0.19625
0.4,0,0.468894,3.14159,0,3.14159,0,0,0.196875
0.4,0,0.468696,3.14159,0,3.14159,0,0,0.1975
0.4,0,0.468498,3.14159,0,3.14159,0,0,0.198125
0.4,0,0.468299,3.14159,0,3.14159,0,0,0.19875
0.4,0,0.4681,3.14159,0,3.14159,0,0,0.199375
0.4,0,0.4679,3.14159,0,3.14159,0,0,0.2
0.4,0,0.467699,3.14159,0,3.14159,0,0,0.200625
0.4,0,0.467498,3.14159,0,3.14159,0,0,0.20125
0.4,0,0.467296,3.14159,0,3.14159,0,0,0.201875
0.4,0,0.467094,3.14159,0,3.14159,0,0,0.2025
0.4,0,0.466891,3.14159,0,3.14159,0,0,0.203125
0.4,0,0.466687,3.14159,0,3.14159,0,0,0.20375
0.4,0,0.466483,3.14159,0,3.14159,0,0,0.204375
0.4,0,0.466278,3.14159,0,3.14159,0,0,0.205
0.4,0,0.466072,3.14159,0,3.14159,0,0,0.205625
0.4,0,0.465866,3.14159,0,3.14159,0,0,0.20625
0.4,0,0.465659,3.14159,0,3.14159,0,0,0.206875
0.4,0,0.465451,3.14159,0,3.14159,0,0,0.2075
0.4,0,0.465243,3.14159,0,3.14159,0,0,0.208125
0.4,0,0.465034,3.14159,0,3.14159,0,0,0.20875
0.4,0,0.464825,3.14159,0,3.14159,0,0,0.209375
0.4,0,0.464615,3.14159,0,3.14159,0,0,0.21
0.4,0,0.464404,3.14159,0,3.14159,0,0,0.210625
0.4,0,0.464193,3.14159,0,3.14159,0,0,0.21125
0.4,0,0.463981,3.14159,0,3.14159,0,0,0.211875
0.4,0,0.463769,3.14159,0,3.14159,0,0,0.2125
0.4,0,0.463556,3.14159,0,3.14159,0,0,0.213125
0.4,0,0.463342,3.14159,0,3.14159,0,0,0.21375
0.4,0,0.463128,3.14159,0,3.14159,0,0,0.214375
0.4,0,0.462913,3.14159,0,3.14159,0,0,0.215
0.4,0,0.462697,3.14159,0,3.14159,0,0,0.215625
0.4,0,0.462481,3.14159,0,3.14159,0,0,0.21625
0.4,0,0.462264,3.14159,0,3.14159,0,0,0.216875
0.4,0,0.462046,3.14159,0,3.14159,0,0,0.2175
0.4,0,0.461828,3.14159,0,3.14159,0,0,0.218125
0.4,0,0.461609,3.14159,0,3.14159,0,0,0.21875
0.4,0,0.46139,3.14159,0,3.14159,0,0,0.219375
